,Power,Time
0,0.2763018867924529,0
1,0.27596226415094344,1
2,0.27596226415094344,2
3,0.27596226415094344,3
4,0.27596226415094344,4
5,0.27596226415094344,5
6,0.27698113207547176,6
7,0.28231603773584907,7
8,0.34235377358490565,8
9,0.37010613207547166,9
10,0.39899999999999997,10
11,0.3987853773584905,11
12,0.39796698113207546,12
13,0.3985966981132075,13
14,0.39687971698113206,14
15,0.3981344339622641,15
16,0.39770754716981127,16
17,0.39962264150943394,17
18,0.39770990566037734,18
19,0.39982547169811317,19
