,Power,Time
0,0.25981865828092243,0
1,0.26136268343815516,1
2,0.2613563941299791,2
3,0.2613563941299791,3
4,0.26166981132075473,4
5,0.2628836477987422,5
6,0.2622777777777778,6
7,0.2635083857442348,7
8,0.2635104821802935,8
9,0.24291194968553462,9
10,0.13934171907756812,10
11,0.1370020964360587,11
12,0.13739308176100629,12
13,0.1370020964360587,13
14,0.13739308176100629,14
15,0.1377840670859539,15
16,0.1377840670859539,16
17,0.1370020964360587,17
18,0.13817505241090147,18
19,0.1377840670859539,19
