,Power,Time
0,0.3517044025157234,0
1,0.35261006289308183,1
2,0.3535157232704403,2
3,0.35487421383647805,3
4,0.35532075471698116,4
5,0.35532075471698116,5
6,0.35532075471698116,6
7,0.35622641509433967,7
8,0.35759119496855346,8
9,0.35849685534591197,9
10,0.14776939203354297,10
11,0.13817505241090147,11
12,0.1370020964360587,12
13,0.13739308176100629,13
14,0.1370020964360587,14
15,0.13739308176100629,15
16,0.13856603773584905,16
17,0.1377840670859539,17
18,0.13817505241090147,18
19,0.13856603773584905,19
