,Power,Time
0,0.13262159329140463,0
1,0.1321928721174004,1
2,0.13101991614255767,2
3,0.12705555555555556,3
4,0.11903878406708597,4
5,0.11826729559748429,5
6,0.11468343815513629,6
7,0.11109748427672958,7
8,0.10988679245283021,8
9,0.2697840670859539,9
10,0.33448008385744243,10
11,0.345787211740042,11
12,0.3507924528301888,12
13,0.3507924528301888,13
14,0.3510220125786164,14
15,0.3507924528301888,15
16,0.3510220125786164,16
17,0.3507924528301888,17
18,0.3507924528301888,18
19,0.3507924528301888,19
