,Power,Time
0,0.2857714884696017,0
1,0.28546960167714885,1
2,0.2857651991614256,2
3,0.28546960167714885,3
4,0.2844884696016772,4
5,0.2839538784067086,5
6,0.2831006289308176,6
7,0.29129350104821805,7
8,0.3159496855345912,8
9,0.34157023060796643,9
10,0.360125786163522,10
11,0.35264989517819706,11
12,0.35242557651991613,12
13,0.3522012578616352,13
14,0.3522012578616352,14
15,0.35242557651991613,15
16,0.3531027253668763,16
17,0.35265199161425576,17
18,0.35476729559748427,18
19,0.3541006289308176,19
