,Power,Time
0,0.3639929245283019,0
1,0.36424528301886794,1
2,0.3639929245283019,2
3,0.36424528301886794,3
4,0.36348349056603774,4
5,0.3522547169811321,5
6,0.33463207547169815,6
7,0.30639386792452833,7
8,0.28687028301886797,8
9,0.2784929245283019,9
10,0.2746037735849057,10
11,0.275622641509434,11
12,0.2766415094339623,12
13,0.27596226415094344,13
14,0.275622641509434,14
15,0.27357783018867926,15
16,0.2742617924528302,16
17,0.27596226415094344,17
18,0.27628537735849057,18
19,0.27625235849056606,19
